,0,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,hobart,Hobart,AU,66.43,-42.88,147.33,82.0,75.0,6.93
1,kruisfontein,Kruisfontein,ZA,68.82,-34.0,24.73,96.0,88.0,13.69
2,vallenar,Vallenar,CL,55.68,-28.58,-70.76,71.0,0.0,2.84
3,mestia,Mestia,GE,3.75,43.04,42.73,65.0,0.0,1.28
4,illoqqortoormiut,,,,,,,,
5,hithadhoo,Hithadhoo,MV,84.12,-0.6,73.08,100.0,88.0,2.62
6,cape town,Cape Town,ZA,64.22,-33.93,18.42,88.0,0.0,9.17
7,cabo san lucas,Cabo San Lucas,MX,72.05,22.89,-109.91,43.0,5.0,6.93
8,jamestown,Jamestown,AU,78.27,-33.21,138.6,85.0,0.0,2.17
9,bluff,Bluff,AU,88.98,-23.58,149.07,66.0,0.0,4.41
10,mys shmidta,,,,,,,,
11,hermanus,Hermanus,ZA,64.0,-34.42,19.24,87.0,48.0,4.0
12,victoria,Victoria,BN,82.27,5.28,115.24,83.0,75.0,3.36
13,upernavik,Upernavik,GL,-12.73,72.79,-56.15,100.0,8.0,4.74
14,tagusao,Tagusao,PH,81.87,9.19,117.81,87.0,80.0,6.64
15,albany,Albany,US,28.81,42.65,-73.75,58.0,1.0,3.36
16,beloha,Beloha,MG,70.17,-25.17,45.06,89.0,20.0,2.95
17,souillac,Souillac,FR,37.74,45.6,-0.6,93.0,0.0,2.95
18,tasiilaq,Tasiilaq,GL,3.2,65.61,-37.64,71.0,0.0,17.22
19,dikson,Dikson,RU,13.2,73.51,80.55,88.0,48.0,7.09
20,airai,Airai,TL,85.92,-8.93,125.41,55.0,12.0,1.16
21,kamenskoye,,,,,,,,
22,chernyshevskiy,Chernyshevskiy,RU,12.75,63.01,112.47,64.0,48.0,3.96
23,busselton,Busselton,AU,77.47,-33.64,115.35,34.0,0.0,14.58
24,qixingtai,Qixingtai,CN,70.53,30.41,111.89,94.0,0.0,4.74
25,tuatapere,Tuatapere,NZ,64.99,-46.13,167.69,80.0,36.0,3.0
26,karaton,Karaton,ID,82.06,-6.34,106.1,74.0,20.0,5.82
27,tuktoyaktuk,Tuktoyaktuk,CA,14.0,69.44,-133.03,85.0,40.0,4.7
28,rikitea,Rikitea,PF,77.64,-23.12,-134.97,100.0,0.0,21.63
29,atbasar,Atbasar,KZ,13.74,51.81,68.36,73.0,24.0,10.0
30,songjianghe,Songjianghe,CN,52.89,42.18,127.48,37.0,64.0,11.45
31,iqaluit,Iqaluit,CA,-23.39,63.75,-68.52,67.0,20.0,9.17
32,baoding,Baoding,CN,57.57,38.86,115.49,90.0,92.0,3.96
33,faanui,Faanui,PF,83.49,-16.48,-151.75,100.0,68.0,5.64
34,mataura,Mataura,NZ,64.99,-46.19,168.86,80.0,0.0,3.0
35,saint george,Saint George,GR,49.71,39.45,22.34,93.0,0.0,2.95
36,fort-shevchenko,Fort-Shevchenko,KZ,40.11,44.51,50.26,100.0,80.0,10.45
37,kapaa,Kapaa,US,75.02,22.08,-159.32,57.0,40.0,8.05
38,barrow,Barrow,AR,51.9,-38.31,-60.23,76.0,20.0,10.45
39,ushuaia,Ushuaia,AR,50.0,-54.81,-68.31,66.0,40.0,6.93
40,lucapa,Lucapa,AO,66.93,-8.42,20.74,91.0,24.0,2.62
41,east london,East London,ZA,73.86,-33.02,27.91,100.0,56.0,22.19
42,pergamino,Pergamino,AR,55.47,-33.9,-60.57,92.0,12.0,1.99
43,kununurra,Kununurra,AU,91.4,-15.77,128.74,55.0,0.0,9.17
44,sorong,Sorong,ID,82.32,-0.86,131.25,100.0,8.0,7.31
45,morros,Morros,BR,78.8,-2.87,-44.04,94.0,40.0,8.05
46,saldanha,Saldanha,PT,35.16,41.42,-6.55,95.0,0.0,5.97
47,provideniya,Provideniya,RU,8.6,64.42,-173.23,71.0,0.0,2.24
48,bengkulu,,,,,,,,
49,nome,Nome,US,58.32,30.04,-94.42,58.0,1.0,3.36
50,attawapiskat,,,,,,,,
51,avarua,Avarua,CK,82.4,-21.21,-159.78,83.0,48.0,8.05
52,yellowknife,Yellowknife,CA,35.29,62.45,-114.38,74.0,75.0,6.93
53,port elizabeth,Port Elizabeth,US,37.71,39.31,-74.98,64.0,1.0,3.18
54,salalah,Salalah,OM,73.4,17.01,54.1,60.0,0.0,4.7
55,vila,Vila,IT,39.69,45.18,8.4,60.0,0.0,6.93
56,guerrero negro,Guerrero Negro,MX,58.2,27.97,-114.04,73.0,0.0,9.44
57,uniao,,,,,,,,
58,mar del plata,Mar del Plata,AR,46.5,-46.43,-67.52,76.0,0.0,2.62
59,cherskiy,Cherskiy,RU,-10.93,68.75,161.3,73.0,68.0,7.2
60,tarnow,Tarnow,DE,31.62,53.78,12.02,86.0,20.0,3.36
61,cayenne,Cayenne,GF,80.6,4.94,-52.33,78.0,75.0,11.41
62,erenhot,Erenhot,CN,44.16,43.65,111.97,49.0,92.0,10.22
63,teguldet,Teguldet,RU,22.2,57.31,88.17,72.0,20.0,3.62
64,comodoro rivadavia,Comodoro Rivadavia,AR,50.0,-45.87,-67.48,87.0,0.0,2.24
65,the pas,The Pas,CA,42.8,53.82,-101.24,56.0,1.0,9.17
66,san miguel,San Miguel,AR,58.6,-34.54,-58.72,77.0,0.0,4.7
67,nizhnevartovsk,Nizhnevartovsk,RU,26.6,60.93,76.58,73.0,40.0,4.47
68,taolanaro,,,,,,,,
69,coria,Coria,ES,42.81,39.98,-6.54,64.0,0.0,11.01
70,sola,Sola,NO,43.52,58.89,5.65,93.0,75.0,13.87
71,saint-philippe,Saint-Philippe,CA,26.15,45.36,-73.48,54.0,1.0,4.7
72,tukrah,,,,,,,,
73,yerbogachen,Yerbogachen,RU,16.08,61.28,108.01,65.0,56.0,3.74
74,semibratovo,Semibratovo,RU,37.4,57.3,39.54,93.0,90.0,6.71
75,los llanos de aridane,Los Llanos de Aridane,ES,64.4,28.66,-17.92,55.0,90.0,14.99
76,priverno,Priverno,IT,45.05,41.47,13.18,70.0,5.0,12.75
77,igarka,Igarka,RU,14.91,67.47,86.57,87.0,92.0,7.2
78,robe,Robe,ET,42.18,7.12,40.01,74.0,0.0,2.17
79,korla,,,,,,,,
80,gat,Gat,SN,69.8,14.69,-16.54,73.0,0.0,16.11
81,sao joao da barra,Sao Joao da Barra,BR,81.96,-21.64,-41.05,100.0,8.0,9.66
82,nador,Nador,MA,54.43,35.17,-2.93,62.0,0.0,10.29
83,alofi,Alofi,NU,86.0,-19.06,-169.92,70.0,75.0,5.82
84,ponta delgada,Ponta Delgada,PT,54.34,37.73,-25.67,81.0,75.0,4.7
85,hasaki,Hasaki,JP,63.12,35.73,140.83,48.0,0.0,12.75
86,dosso,Dosso,NE,73.77,13.05,3.19,62.0,0.0,2.39
87,terenos,Terenos,BR,75.2,-20.44,-54.87,94.0,20.0,3.36
88,kutum,Kutum,SD,53.7,14.2,24.66,21.0,0.0,8.99
89,bredasdorp,Bredasdorp,ZA,60.8,-34.53,20.04,87.0,92.0,3.36
90,vaini,Vaini,IN,62.6,15.34,74.49,77.0,0.0,1.72
91,castro,Castro,CL,44.6,-42.48,-73.76,75.0,32.0,5.82
92,thompson,Thompson,CA,37.4,55.74,-97.86,69.0,75.0,13.87
93,viedma,Viedma,AR,52.35,-40.81,-62.99,62.0,0.0,9.33
